city,state,orders_deliverd,late_orders,mean_late_days,late_percentage
queimados,RJ,53,2,0.49056603773584906,3.77
queiroz,SP,1,0,0.0,0.0
queixada,MG,1,1,4.0,100.0
queluz,SP,2,0,0.0,0.0
querencia do norte,PR,1,0,0.0,0.0
quevedos,RS,2,0,0.0,0.0
quinta do sol,PR,3,0,0.0,0.0
quintana,SP,4,1,30.5,25.0
quissama,RJ,11,0,0.0,0.0
quitandinha,PR,2,0,0.0,0.0
rafard,SP,5,1,0.0,20.0
rainha do mar,RS,1,1,8.0,100.0
rancharia,SP,21,2,0.8571428571428571,9.52
rancho alegre,PR,1,0,0.0,0.0
rancho alegre d'oeste,PR,1,0,0.0,0.0
raposo,RJ,3,3,14.333333333333334,100.0
raposos,MG,11,0,0.0,0.0
raul soares,MG,12,1,2.75,8.33
ravena,MG,1,0,0.0,0.0
realeza,PR,6,0,0.0,0.0
reboucas,PR,6,0,0.0,0.0
rechan,SP,2,2,9.5,100.0
recreio,MG,3,0,0.0,0.0
redencao da serra,SP,1,0,0.0,0.0
redentora,RS,3,0,0.0,0.0
regente feijo,SP,10,0,0.0,0.0
reginopolis,SP,3,0,0.0,0.0
registro,SP,45,1,0.08888888888888889,2.22
renascenca,PR,4,0,0.0,0.0
resende,RJ,115,22,2.217391304347826,19.13
resende costa,MG,3,1,0.6666666666666666,33.33
reserva,PR,3,0,0.0,0.0
reserva do iguacu,PR,1,0,0.0,0.0
resplendor,MG,10,0,0.0,0.0
ressaquinha,MG,1,0,0.0,0.0
restinga seca,RS,3,0,0.0,0.0
riachinho,MG,2,0,0.0,0.0
riacho dos machados,MG,3,0,0.0,0.0
ribeira,SP,3,0,0.0,0.0
ribeirao bonito,SP,7,1,8.571428571428571,14.29
ribeirao branco,SP,2,1,2.5,50.0
ribeirao claro,PR,5,0,0.0,0.0
ribeirao das neves,MG,98,5,0.2653061224489796,5.1
ribeirao do pinhal,PR,5,0,0.0,0.0
ribeirao do sul,SP,3,0,0.0,0.0
ribeirao pires,SP,106,5,0.3867924528301887,4.72
ribeirao preto,SP,499,19,0.23647294589178355,3.81
ribeirao vermelho,MG,2,0,0.0,0.0
ribeiro junqueira,MG,1,1,17.0,100.0
rifaina,SP,2,0,0.0,0.0
rincao,SP,1,0,0.0,0.0
rinopolis,SP,2,0,0.0,0.0
rio acima,MG,8,0,0.0,0.0
rio azul,PR,5,1,0.0,20.0
rio bonito,RJ,27,2,1.2222222222222223,7.41
rio bonito do iguacu,PR,4,0,0.0,0.0
rio branco do sul,PR,6,0,0.0,0.0
rio casca,MG,5,0,0.0,0.0
rio claro,RJ,3,1,3.0,33.33
rio claro,SP,151,5,0.1390728476821192,3.31
rio das flores,RJ,6,2,3.6666666666666665,33.33
rio das ostras,RJ,130,27,4.107692307692307,20.77
rio das pedras,SP,10,1,0.3,10.0
rio de janeiro,RJ,6601,780,1.5282532949553098,11.82
rio doce,MG,1,0,0.0,0.0
rio dos indios,RS,1,0,0.0,0.0
rio espera,MG,1,0,0.0,0.0
rio grande,RS,121,15,1.1900826446280992,12.4
rio grande da serra,SP,25,1,0.12,4.0
rio manso,MG,5,0,0.0,0.0
rio negro,PR,15,2,1.4,13.33
